Time,Station,Temperature,Moisture,Light,Wind Direction,PM2.5,PM10,CO,NOx,SO2
31/08/2023 19:45:00,SVDT1,26.6,97.5,0,82,1,2.2,2,0,0
31/08/2023 19:44:00,SVDT1,26.6,97.5,0,127,0.7,1.6,2,0,0
31/08/2023 19:43:00,SVDT1,26.6,97.5,0,79,1.8,8.2,2,0,0
31/08/2023 19:42:00,SVDT1,26.7,97.5,0,81,1.5,3.7,2,0,0
31/08/2023 19:41:00,SVDT1,26.7,97.2,0,77,0.9,1.9,2,0,0
31/08/2023 19:40:00,SVDT1,26.8,97,0,216,1,4,2,0,0
31/08/2023 19:39:00,SVDT1,26.8,96.6,0,95,1.1,2.8,2,0,0
31/08/2023 19:38:00,SVDT1,26.8,96.5,0,45,1.1,8.2,2,0,0
31/08/2023 19:37:00,SVDT1,26.8,96.5,0,88,1.3,2,2,0,0
31/08/2023 19:36:00,SVDT1,26.8,96.4,0,162,1.1,4.4,2,0,0
31/08/2023 19:35:00,SVDT1,26.8,96.5,0,102,1.5,5.1,2,0,0
31/08/2023 19:34:00,SVDT1,26.8,96.4,0,149,1,1.7,2,0,0
31/08/2023 19:33:00,SVDT1,26.8,96.5,0,145,1.2,2.8,2,0,0
31/08/2023 19:32:00,SVDT1,26.8,96.5,0,82,0.7,2.6,2,0,0
31/08/2023 19:31:00,SVDT1,26.8,96.5,0,116,0.7,3,2,0,0
31/08/2023 19:30:00,SVDT1,26.8,96.5,0,97,1.3,7.3,2,0,0
31/08/2023 19:29:00,SVDT1,26.8,96.5,0,80,0.7,1.5,2,0,0
31/08/2023 19:28:00,SVDT1,26.7,96.5,0,78,1.4,1.8,2,0,0
31/08/2023 19:27:00,SVDT1,26.8,96.5,0,153,0.7,0.7,2,0,0
31/08/2023 19:26:00,SVDT1,26.8,96.5,0,85,0.7,1.3,2,0,0
31/08/2023 19:25:00,SVDT1,26.7,96.5,0,73,0.9,4.3,2,0,0
31/08/2023 19:24:00,SVDT1,26.8,96.5,0,164,1.5,3.5,2,0,0
31/08/2023 19:23:00,SVDT1,26.8,96.5,0,166,0.6,9,2,0,0
31/08/2023 19:22:00,SVDT1,26.8,96.5,0,111,1,1.7,2,0,0
31/08/2023 19:21:00,SVDT1,26.8,96.5,0,125,0.8,4.1,2,0,0
31/08/2023 19:20:00,SVDT1,26.8,96.5,0,95,1.3,5.4,2,0,0
31/08/2023 19:19:00,SVDT1,26.8,96.5,0,71,1,2.2,2,0,0
31/08/2023 19:18:00,SVDT1,26.7,96.5,0,91,0.8,1.5,2,0,0
31/08/2023 19:17:00,SVDT1,26.7,96.5,0,67,0.5,0.5,2,0,0
31/08/2023 19:16:00,SVDT1,26.7,96.6,0,82,1.2,5.4,2,0,0
31/08/2023 19:15:00,SVDT1,26.7,96.5,0,73,1.3,5.6,2,0,0
31/08/2023 19:14:00,SVDT1,26.7,96.5,0,99,1.7,3.7,2,0,0
31/08/2023 19:13:00,SVDT1,26.7,96.6,0,78,0.9,3.1,2,0,0
31/08/2023 19:12:00,SVDT1,26.7,96.6,0,101,1.4,5.3,2,0,0
31/08/2023 19:11:00,SVDT1,26.7,96.6,0,97,1.4,3.7,2,0,0
31/08/2023 19:10:00,SVDT1,26.7,96.7,0,114,1.1,2.8,2,0,0
31/08/2023 19:09:00,SVDT1,26.7,96.7,0,96,0.7,0.9,2,0,0
31/08/2023 19:08:00,SVDT1,26.6,96.7,0,101,1.1,1.7,2,0,0
31/08/2023 19:07:00,SVDT1,26.6,96.7,0,187,0.6,0.6,2,0,0
31/08/2023 19:06:00,SVDT1,26.6,96.7,0,95,0.5,0.6,2,0,0
31/08/2023 19:05:00,SVDT1,26.6,96.7,0,104,0.6,0.7,2,0,0
31/08/2023 19:04:00,SVDT1,26.6,96.7,0,73,1.4,2.3,2,0,0
31/08/2023 19:03:00,SVDT1,26.6,96.7,0,37,1,1.6,2,0,0
31/08/2023 19:02:00,SVDT1,26.6,96.6,0,58,0.8,3.5,2,0,0
31/08/2023 19:01:00,SVDT1,26.6,96.6,0,156,0.7,1.3,2,0,0
31/08/2023 19:00:00,SVDT1,26.6,96.5,0,166,1.1,1.7,2,0,0
31/08/2023 18:59:00,SVDT1,26.7,96.6,0,85,0.7,1.6,2,0,0
31/08/2023 18:58:00,SVDT1,26.6,96.5,0,156,0.6,1.1,2,0,0
31/08/2023 18:57:00,SVDT1,26.6,96.5,0,117,0.5,1.3,2,0,0
31/08/2023 18:56:00,SVDT1,26.6,96.6,0,148,0.8,2.4,2,0,0
31/08/2023 18:55:00,SVDT1,26.6,96.6,0,106,0.9,2.1,2,0,0
31/08/2023 18:54:00,SVDT1,26.6,96.6,0,84,1.4,4,2,0,0
31/08/2023 18:53:00,SVDT1,26.6,96.6,0,81,0.8,2.5,2,0,0
31/08/2023 18:52:00,SVDT1,26.6,96.6,0,103,1.1,2.4,2,0,0
31/08/2023 18:51:00,SVDT1,26.6,96.6,0,100,1,1.4,2,0,0
31/08/2023 18:50:00,SVDT1,26.6,96.6,0,93,0.7,2.3,2,0,0
